feature_1based,name,selected_count,selected_rate
22,x22,27,0.9
27,x27,24,0.8
14,x14,23,0.7666666666666667
8,x8,21,0.7
11,x11,21,0.7
12,x12,21,0.7
28,x28,21,0.7
29,x29,21,0.7
20,x20,20,0.6666666666666666
7,x7,19,0.6333333333333333
16,x16,19,0.6333333333333333
24,x24,18,0.6
6,x6,17,0.5666666666666667
15,x15,17,0.5666666666666667
23,x23,17,0.5666666666666667
25,x25,17,0.5666666666666667
13,x13,16,0.5333333333333333
18,x18,16,0.5333333333333333
19,x19,16,0.5333333333333333
21,x21,16,0.5333333333333333
26,x26,15,0.5
4,x4,14,0.4666666666666667
5,x5,14,0.4666666666666667
9,x9,14,0.4666666666666667
10,x10,14,0.4666666666666667
30,x30,14,0.4666666666666667
17,x17,11,0.36666666666666664
1,x1,10,0.3333333333333333
2,x2,10,0.3333333333333333
3,x3,8,0.26666666666666666
